Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Lagna ,11°Kany07′ 59″, Hasta,1,Chandra,161.13,00°N00′ 00″,257.35,184.5,-1.95,1993-01-01 00:00:00
Surya ,16°Dhan44′ 07″, P Ashadha,2,Shukra,256.74,00°N00′ 00″,1.02,281.42,-23.02,1993-01-01 00:00:00
Chandra ,14°Meen09′ 01″, U Bhadrapada,4,Shani,344.15,05°N02′ 23″,12.0,5.27,7.77,1993-01-01 00:00:00
Mangal ,26°Mitu41′ 04″, Punarvasu,3,Guru,86.68,03°N52′ 23″,-0.39,112.76,25.71,1993-01-01 00:00:00
Budha ,03°Dhan39′ 12″, Mula,2,Ketu,243.65,00°S25′ 25″,1.51,267.18,-23.84,1993-01-01 00:00:00
Guru ,19°Kany42′ 42″, Hasta,3,Chandra,169.71,01°N18′ 12″,0.08,192.91,-4.12,1993-01-01 00:00:00
Shukra ,02°Kumb49′ 19″, Dhanishtha,3,Mangal,302.82,01°S33′ 09″,1.11,329.36,-14.11,1993-01-01 00:00:00
Shani ,22°Maka34′ 33″, Shravana,4,Chandra,292.58,01°S00′ 51″,0.11,319.12,-16.91,1993-01-01 00:00:00
Arun ,23°Dhan53′ 54″, P Ashadha,4,Shukra,263.9,00°S24′ 41″,0.06,289.2,-22.68,1993-01-01 00:00:00
Varun ,24°Dhan35′ 12″, P Ashadha,4,Shukra,264.59,00°N40′ 23″,0.04,289.78,-21.52,1993-01-01 00:00:00
Yam ,00°Vish57′ 10″, Vishakha,4,Guru,210.95,14°N12′ 46″,0.03,-124.21,-5.14,1993-01-01 00:00:00
Rahu ,26°Vish39′ 33″, Jyeshtha,3,Budha,236.66,00°N00′ 00″,-0.05,259.58,-23.09,1993-01-01 00:00:00
Ketu ,26°Vibh39′ 33″, Mrigashirsha,1,Mangal,56.66,00°N00′ 00″,-0.05,79.58,23.09,1993-01-01 00:00:00
Spashth Rahu ,27°Vish32′ 43″, Jyeshtha,4,Budha,237.55,00°N00′ 00″,-0.003,260.54,-23.15,1993-01-01 00:00:00
Spashth Ketu ,27°Vibh32′ 43″, Mrigashirsha,2,Mangal,57.55,00°N00′ 00″,-0.003,80.54,23.15,1993-01-01 00:00:00
Lagna ,07°Mitu31′ 32″, Ardra,1,Rahu,67.53,00°N00′ 00″,326.13,91.38,23.44,1991-01-01 16:30:00
Surya ,16°Dhan53′ 24″, P Ashadha,2,Shukra,256.89,00°S00′ 00″,1.02,281.56,-23.02,1991-01-01 16:30:00
Chandra ,27°Mitu57′ 01″, Punarvasu,3,Guru,87.95,00°N35′ 03″,14.96,113.54,22.27,1991-01-01 16:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 35″,0.0,54.92,21.94,1991-01-01 16:30:00
Budha ,00°Dhan20′ 50″, Mula,1,Ketu,240.35,03°N07′ 47″,-0.35,263.71,-20.18,1991-01-01 16:30:00
Guru ,18°Kark11′ 22″, Ashlesha,1,Budha,108.19,00°N41′ 00″,-0.1,134.59,17.87,1991-01-01 16:30:00
Shukra ,01°Maka41′ 20″, U Ashadha,2,Surya,271.69,01°S17′ 50″,1.25,297.65,-22.33,1991-01-01 16:30:00
Shani ,01°Maka59′ 23″, U Ashadha,2,Surya,271.99,00°S08′ 36″,0.12,297.74,-21.14,1991-01-01 16:30:00
Arun ,16°Dhan01′ 32″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 16:30:00
Varun ,20°Dhan24′ 00″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 16:30:00
